27,0,12,135,21815,6,881,311,214,843,10866,1,27469,1,109,139,0,2,0,0,10131,2,20,4,4746,0,2,14,5873,209,5,0,17,30,202,0,0,1,14,1393,0,147,103,69,61,272,1,292,0,20,5,1,1,0,0,575,0,1,5,384,0,1,6,628,9,2,0,0,1,19
395,10,341,1153,1,1,78,466,314,39,99,32,6,3,223,4,2689,1923,7,268,2,83275,1716,36656,417,1,263,1323,8457,1816,21694,2,9,698,10550,7,2,19,10,0,0,3,25,3,8,2,1,0,0,2,1,138,10,0,8,0,423,36,619,82,0,16,98,270,22,214,0,0,5,51
27,2049,429,829,11,3,64,214,74,1367,100,68,30,255,24,34,7365,292,17,48,20,1716,13227,7745,7592,225,222,8374,1401,91,782,11,1,67,793,3,6,68,8,3,0,7,25,5,11,9,2,3,9,9,2,348,41,2,10,0,232,62,1457,55,10,24,364,114,5,67,1,0,2,19
1650,80,20495,745,4,5,382,2181,1648,73,585,82,26,13,1088,10,9403,15308,16,1062,4,36656,7745,123439,791,9,2353,21919,7404,2405,10396,4,26,492,10621,5,13,475,19,1,0,13,115,37,9,15,1,3,2,28,1,498,159,1,24,1,516,276,6858,104,2,120,2054,321,18,140,0,0,4,98
212,69,190,4490,4390,14,430,1478,439,13685,1080,2,2567,5,237,439,1995,125,0,13,4746,417,7592,791,64801,13,88,2889,19974,1471,1867,1,15,1024,1257,57,2,29,174,162,2,402,668,326,207,538,4,225,0,131,29,16,24,1,4,153,52,21,166,1442,2,14,94,2407,182,251,0,3,34,133
0,1899,26,418,0,0,1,2,2,149,0,2252,2,4745,2,1,2,41,258,331,0,1,225,9,13,13395,1146,9308,8,12,0,92,0,0,299,1,10,2,127,0,0,1,0,1,2,0,43,0,448,1,0,0,5,50,37,0,0,8,1,0,815,273,465,1,2,0,26,0,0,15
138,616,22145,1182,0,3,129,222,380,137,98,28476,6,5340,186,9,100,11369,11768,12857,2,263,222,2353,88,1146,147330,36113,210,339,297,2676,18,53,6964,9,384,274,187,1,0,1,25,18,21,4,95,1,170,16,3,13,585,141,749,0,30,49,142,14,488,4255,5398,25,12,30,29,0,4,193
162,7027,8499,13285,11,1,190,704,399,1211,311,2285,45,9055,210,33,8255,7121,595,1605,14,1323,8374,21919,2889,9308,36113,160187,3756,340,479,3231,9,89,7482,16,321,2070,440,2,0,11,130,50,33,25,143,1,334,76,6,113,953,166,665,3,138,303,3183,73,905,4378,11823,207,26,88,38,1,4,399
502,34,1054,2376,8949,9,1783,19090,1315,2100,11740,19,2871,7,658,208,764,375,0,54,5873,8457,1401,7404,19974,8,210,3756,75507,2753,11648,3,21,2351,5556,80,2,56,149,331,4,407,850,239,198,733,8,273,0,136,27,46,40,0,10,221,158,46,339,1892,2,29,144,3055,306,475,0,6,32,166
21206,2,641,441,69,343,5583,4070,5703,462,1895,296,857,42,18654,142,17,1368,18,147,209,1816,91,2405,1471,12,339,340,2753,115893,11915,5,4642,5540,3952,11,1,7,13,8,0,23,102,25,14,34,2,4,0,14,2,0,9,0,4,5,5,5,42,119,2,8,46,241,32,59,0,0,1,18
8405,16,993,1826,5,3,165,20851,1049,856,196,23,13,2,1514,11,347,2215,8,199,5,21694,782,10396,1867,0,297,479,11648,11915,104561,2,24,1843,9318,20,0,27,41,1,0,24,136,28,46,10,1,3,1,29,4,38,12,0,4,2,155,14,114,224,0,16,70,665,82,265,0,1,19,58
1,16,10,17,0,0,3,0,1,5,0,1258,0,3779,1,0,1,8,172,53,0,2,11,4,1,92,2676,3231,3,5,2,4760,2,0,130,0,8,2,13,0,0,0,0,0,0,1,11,0,24,0,0,0,4,9,20,0,0,1,0,0,89,90,140,0,0,0,4,0,0,2
32,0,35,6,2,6257,5867,94,7649,6,101,26,59,5,10212,163,0,9,3,3,17,9,1,26,15,0,18,9,21,4642,24,2,27491,10,290,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,1,0,0,1,0
244,6,61,248,15,0,102,1028,89,319,265,5,46,1,188,18,20,278,4,32,30,698,67,492,1024,0,53,89,2351,5540,1843,0,10,5748,1517,4,1,1,10,4,0,5,45,12,4,9,0,5,0,6,0,0,3,0,0,3,4,2,24,70,0,1,3,140,13,37,0,0,2,10
