ID,degree_avg,degree_interHemisphere_avg,degree_intraHemisphere_avg,degree_withinModule_avg,degree_betweenModule_avg
0164_2,91.900000,43.520000,48.380000,14.620000,77.280000
0165_1,88.520000,40.060000,48.460000,13.840000,74.680000
0166_1,86.020000,38.340000,47.680000,13.720000,72.300000
0167_1,91.560000,43.120000,48.440000,14.560000,77.000000
0168_1,90.660000,42.360000,48.300000,14.240000,76.420000
0169_1,86.960000,39.620000,47.340000,13.600000,73.360000
0170_1,90.260000,41.740000,48.520000,14.360000,75.900000
0170_2,92.160000,43.540000,48.620000,14.580000,77.580000
0171_1,80.600000,34.240000,46.360000,13.120000,67.480000
0172_1,86.640000,40.520000,46.120000,13.380000,73.260000
0173_1,94.420000,45.920000,48.500000,14.700000,79.720000
0174_1,90.880000,42.880000,48.000000,14.200000,76.680000
0175_1,90.640000,43.260000,47.380000,14.120000,76.520000
0176_1,88.840000,41.020000,47.820000,14.060000,74.780000
0177_1,82.160000,35.260000,46.900000,13.300000,68.860000
0177_2,89.940000,41.480000,48.460000,14.380000,75.560000
0178_1,93.880000,45.460000,48.420000,14.680000,79.200000
0179_1,71.180000,22.920000,48.260000,11.400000,59.780000
0180_1,75.900000,31.080000,44.820000,12.200000,63.700000
0181_1,81.920000,33.420000,48.500000,12.960000,68.960000
0182_1,88.020000,41.360000,46.660000,14.040000,73.980000
0183_1,89.340000,40.980000,48.360000,14.320000,75.020000
0184_1,89.160000,41.220000,47.940000,14.060000,75.100000
0184_2,88.800000,41.120000,47.680000,13.920000,74.880000
0185_1,87.820000,39.120000,48.700000,14.000000,73.820000
0186_1,68.900000,26.420000,42.480000,11.180000,57.720000
0186_2,66.700000,24.580000,42.120000,10.640000,56.060000
0187_1,89.240000,41.580000,47.660000,13.880000,75.360000
0188_1,81.820000,35.060000,46.760000,13.080000,68.740000
0188_2,84.680000,36.800000,47.880000,13.360000,71.320000
0189_1,86.160000,39.480000,46.680000,13.620000,72.540000
0189_2,81.080000,35.860000,45.220000,12.840000,68.240000
0190_1,94.220000,45.560000,48.660000,14.780000,79.440000
0190_2,92.380000,43.660000,48.720000,14.520000,77.860000
0191_1,91.120000,42.440000,48.680000,14.520000,76.600000
0191_2,90.880000,42.560000,48.320000,14.400000,76.480000
0192_1,91.060000,42.720000,48.340000,14.400000,76.660000
0193_1,87.040000,39.060000,47.980000,13.760000,73.280000
0194_1,93.700000,45.100000,48.600000,14.600000,79.100000
0195_1,83.220000,34.960000,48.260000,13.220000,70.000000
